name,Age,Team & Contract,ID,Best position,Value(Euros),Wage(K),Release clause(euros in millions),Height,Weight,foot,Best overall,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace
A. Younes LM CAM,29,"Al Ettifaq
2022 ~ 2024",205966,LM,3000000,25000,5.1,"170cm / 5'7""",71kg / 157lbs,Right,73,294,62-1,68-1,28,72-1,64,359,78-1,72,59,72,78-1,387,75,67,87,69-1,89,314,71,52+17,75,54+2,62,316,70,42,72,74-1,58,73,107,39,43,25,65,15,11,9,15,15,1842,387,1,71,67,70,79,38
R. Sessegnon LB LWB,23,"Tottenham Hotspur
2019 ~ 2025",235883,LM,8000000,49000,15.8,"178cm / 5'10""",70kg / 154lbs,Left,77,328,75,66,56,76,55,323,76,74,31,65,77,382,80,77,77,73,75,322,67,71,69,60,55,351,67,71,77,75,61,76,215,73,73,69,39,6,11,7,8,7,1960,425,1,78,64,72,76,71
Mikel Merino CM CAM,27,"Real Sociedad
2018 ~ 2025",225193,CM,48000000,54000,104.4,"189cm / 6'2""",83kg / 183lbs,Left,85,387,77,79,87,86,58,401,83,80,69,84,85,377,72,72,74,86,73,416,85,89,83,80,79,404,83,85,83,83,70,80,240,80,84,76,57,9,12,9,13,14,2282,480,2,72,79,82,82,83
M. Prati CDM CM,19,"Cagliari
2023 ~ 2028",272725,CM,7000000,10000,14000000,"185cm / 6'1""",75kg / 165lbs,Right,75,340,70,59,67,76,68,350,72,71,58,74,75,331,64,66,68,71,62,360,74,71,77,68,70,335,66,72,66,75,56,73,206,68,70,68,55,15,13,12,6,9,1977,414,1,65,65,73,72,69
L. Rodríguez RW LW ST,19,"Liverpool
2023 ~ 2027",273604,ST,4.4,500,10.3,"179cm / 5'10""",71kg / 157lbs,Right,72,314,60,71,49,55,79,356,80,69,74,56,77,379,83,83,88,59,66,383,81,75,74,76,77,278,55,38,67,57,61,57,105,36,34,35,64,13,13,10,13,15,1879,400,1,83,74,58,77,37
B. Šeško ST,20,"RB Leipzig
2023 ~ 2028",260592,ST,31000000,41000,58.9,"195cm / 6'5""",85kg / 187lbs,Right,80,358,55,81,79,71,72,322,76,59,56,53,78,379,79,86,74,71,69,401,81+2,92,74,83,71,298,62,35,79,61,61,75,122,45,42,35,43,10,8,5,14,6,1923,420,1,83,77,62,76,45
J. Tanganga RB CB RWB,24,"Millwall
Jun 30, 2024 On loan",236600,CB,3.3,37000,0,"180cm / 5'11""",73kg / 161lbs,Right,76,269,65,28,70,70,36,287,72,54,37,56,68,348,66,76,68,72,66,290,52,80,58,81,19,308,85,72,47,59,45,71,221,74,74,73,53,11,9,12,7,14,1776,386,1,72,33,62,70,73
M. O'Riley CM CAM CDM,22,"Celtic
2022 ~ 2027",240734,CAM,28.5,48000,57000000,"188cm / 6'2""",77kg / 170lbs,Left,80,371,74,77,66+13,80+1,74,381,76,77+2,72+3,79+2,77-1,373,69+2,69,74+4,79+2,82,389,80,75+6,85,74,75,371,71+3,67-2,79,82+1,72,80,204,66+1,71+1,67+5,50,14,12,5,13,6,2139,446,1,69,77,79,77,68
V. Tsygankov RM CM CAM,25,"Girona
2023 ~ 2027",244369,RM,43.5,41000,94.6,"178cm / 5'10""",72kg / 159lbs,Left,83,364,83,82,45,82,72,400,83,81,76,77,83,405,85,85,83,80,72,349,78,64,77,53,77,347,63,39,82,82,81,80,136,60,39,37,49,9,7,15,6,12,2050,436,2,85,80,81,82,46
K. Havertz CAM CM ST,24,"Arsenal
2023 ~ 2028",235790,CAM,46000000,110000,88.6,"193cm / 6'4""",82kg / 181lbs,Left,85,404,74,83,83,84,80,385,84,84,53,79,85,382,75,81,75,83,68,385,76,84,77,70,78,347,56,43,84,81,83,84,133,45,47,41,47,6,8,11,10,12,2083,440,3,78,81,79,83,49
J. Bellingham CAM CM,20,"Real Madrid
2023 ~ 2029",252371,CAM,128.5,230000,273.1,"186cm / 6'1""",75kg / 165lbs,Right,90,385,66,87,69,89,74,391,88,73,56,87,87,411,81,80,82,89,79,411,79,82,93,77,80,416,85,82,88,87,74,87+2,233,77,79,77,48,14,11,10,5,8,2295,492,4,80,83,81,87,78
A. Wharton CDM CM,19,"Crystal Palace
2024 ~ 2029",259240,CM,15000000,18000,31.5,"182cm / 6'0""",70kg / 154lbs,Left,77,327,74+8,60+1,62,80,51+1,367,75+1,74+7,62+4,78+1,78,367,74+2,63,74,74+3,82,343,67+1,74+1,71-2,68,63,342,73+1,73+10,64+2,79+1,53,82+2,216,66+1,76+2,74+2,47,5,11,13,6,12,2009,423,1,68,61,77,76,71
